Name of institution,Type of institution,Level,Country,State/Province,City,Website,Area of study,Programme,
Northern Alberta Institute of Technology,College,,Canada,Edmonton,Alberta,http://www.nait.ca/,Diploma,"Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Health and Medicine,Business and Management,Business and Management,Business and Management,Architecture and Construction,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Health and Medicine,Health and Medicine,Health and Medicine,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Computer Science and IT,Computer Science and IT,Engineering,Engineering,Computer Science and IT,Engineering,Creative Arts and Design,Architecture and Construction,Engineering,Engineering,Engineering,Engineering,Computer Science and IT,Computer Science and IT,Computer Science and IT,Computer Science and IT,Computer Science and IT,Social Studies and Media,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Social Studies and Media,Social Studies and Media,Social Studies and Media","Dental Assisting Technology,Dental Technology,Emergency Management,Emergency Medical Technician,Industrial Emergency Management,Medical Transcription,Optical Sciences - Contact Lenses,Public Sector Emergency Management,Veterinary Medical Assistant,Business Administration - Accounting,Business Administration - Finance,Business Administration,Construction Management,Technology Management,Business Administration - Accounting,Business Administration - Finance,Business Administration - Human Resources,Business Administration - Management,Business Administration - Marketing,Business Administration,Emergency Management,Hospitality Management,Applied Banking and Business,Public Sector Emergency Management,Biomedical Engineering Technology,Chemical Engineering Technology ,Chemical Technology ,Civil Engineering Technology,Construction Engineering Technology,Electrical Engineering Technology,Electronics Engineering Technology,Engineering Design and Drafting Technology,Instrumentation Engineering Technology,Materials Engineering Technology,Nanotechnology Systems,Network Engineering Technology,Petroleum Engineering Technology,Power Engineering Technology,Wireless Systems Engineering Technology,Power Engineering,Interior Design Technology,Heating, Refrigeration and Air Conditioning Technician,Industrial Heavy Equipment Technology,Auto Body Technician,Automotive Service Technician ,CNC Machinist ,Information Systems Technology,Technology Management,Computer Engineering Technology,Digital Media and IT,Computer Network Administration,Communication Technician,Culinary Arts,Hospitality Management,Baking,Cook,Photographic Technology,Broadcasting – Radio ,Broadcasting – Television"
North Island College,Community College,,Canada,Courtenay,British Columbia,http://www.nic.bc.ca/,Certificate,"Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Health and Medicine,Health and Medicine,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Agricultural and Veterinary Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Health and Medicine,Business and Management,Business and Management,Creative Arts and Design,Creative Arts and Design,Computer Science and IT,Computer Science and IT,Computer Science and IT,Architecture and Construction,Engineering,Engineering,Engineering,Business and Management,Business and Management,Computer Science and IT,Business and Management,Business and Management,Business and Management,Business and Management,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Health and Medicine,Health and Medicine,Health and Medicine,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Computer Science and IT,Business and Management,Business and Management,Business and Management,Business and Management","Early Childhood Education ,Early Childhood Education ,Human Service - Educational Assistant/Community Support,Human Services,Social Service,Activity Assistant,Nursing,Health Care Assistant,Adventure Guiding,Global Tourism and Hospitaity Managemnet,Global Tourism and Hospitaity Managemnet,Tourism and Hospitality Management,Tourism and Hospitality Management,Landscape Horticulture Fundamentals,Business Administration - Accounting,Business Administration - General Management,Business Administration - Marketing,Business Administration,Business Administration,Adminsistration Assistant,Computing Accounting Assistant,Legal Administrative Assistant,Medical Office Assistant I,Office Assistant I,Office Management,Fine Arts,Advanced Communication and Interactive Design,Mobile Application Development,Web and Mobile Application Development - Interactive Media,Web Design,Automotive Service Technician ,Electronics Engineering Technician,Heavy Mechanical Foundation,Industrial Automation Technician,Business Administration,Adminsistration Assistant,Computing Accounting Assistant,Legal Administrative Assistant,Medical Office Assistant I,Office Assistant I,Office Management,Metal Jewellry Design,Early Childhood Education ,Early Childhood Education ,Hospital Unit Clerk,Practical Nursing,Health Care Assistant,Early Childhood Education ,Early Childhood Education ,Human Service - Educational Assistant/Community Support,Business Administration,Adminsistration Assistant,Computing Accounting Assistant,Legal Administrative Assistant,Medical Office Assistant I,Office Assistant I,Office Management"
Okanagan College,College,,Canada,Kelowna,British Columbia,http://www.okanagan.bc.ca/,Certificate,"Business and Management,Business and Management,Business and Management,Engineering,Social Studies and Media,Engineering,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Travel and Hospitality,Health and Medicine,Social Studies and Media,Creative Arts and Design,Agricultural and Veterinary Medicine,Law,Business and Management,Business and Management,Health and Medicine,Business and Management,Travel and Hospitality,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Business and Management,Social Studies and Media,Computer Science and IT,Law,Travel and Hospitality,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Engineering,Social Studies and Media,Business and Management,Engineering,Engineering,Health and Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Creative Arts and Design,Business and Management,Architecture and Construction,Architecture and Construction,Travel and Hospitality,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Law,Health and Medicine,Architecture and Construction,Travel and Hospitality,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Creative Arts and Design,Architecture and Construction,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Law,Social Studies and Media,Social Studies and Media,Health and Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Computer Science and IT,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Travel and Hospitality,Social Studies and Media,Architecture and Construction,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Social Studies and Media,Health and Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management","Accounting ,Administrative Assistant ,Communication,Engineering,Audio Engineering and Music Production,Automotive Service Technician ,Business - Accounting,Business - Business Computer Applications,Business - Entrepreneurship and Small Business Management,Business - Financial Services,Business - Human Resources Management,Business - Marketing,Business - Operations Management,Business - Tourism and Hospitality Management,Cullinary Arts,Dental Assistant,Education Assistant,Interior Decorating,Landscape Horticulture,Legal Administrative Assistant,Office Assistant I,Office Management,Pharmacy Technician,Business Administration,Pastry Arts,Business Administration - Accounting,Business Administration - Financial Services,Business Administration - General Management,Business Administration - Human Resources,Business Administration - Management,Business Administration - Marketing,Business - Tourism and Hospitality Management,Civil Engineering Technology,Commercial Aviation,Communication, Culture and Journalism,Computer Information Systems,Criminal and Social Justice,Culinary Management,Journalism,Media and Culture ,Writing and Publishing,Early Childhood Education ,Electronic Engineering Technology,Human Service Worker,International Development,Mechanical Engineering Technology,Network and Telecommunications Engineering Technology,Practical Nursing,Business Administration - Accounting,Business Administration - Financial Services,Business Administration - Human Resources,Business Administration - Management,Business Administration - Marketing,Business - Tourism and Hospitality Management,Business Administration,Computer Information Systems,Business Administration,Business - Accounting,Business - Business Computer Applications,Business - Entrepreneurship and Small Business Management,Business - Financial Services,Business - Human Resources Management,Business - Marketing,Business - Operations Management,Business - Tourism and Hospitality Management,Interior Decorating,Office Management,Refrigeration and Air Conditioning Technician,Residential Construction,Viticulture,Business Administration - Accounting,Business Administration - Financial Services,Business Administration - General Management,Business Administration - Human Resources,Business Administration - Management,Business Administration - Marketing,Business - Tourism and Hospitality Management,Criminal and Social Justice,Practical Nursing,Sustainable Construction Management Technology,Viticulture Technician,Business Administration - Accounting,Business Administration - Financial Services,Business Administration - Human Resources,Business Administration - Management,Business Administration - Marketing,Business - Tourism and Hospitality Management,Business Administration,Computer Information Systems,Business - Accounting,Business - Business Computer Applications,Business - Entrepreneurship and Small Business Management,Business - Financial Services,Business - Human Resources Management,Business - Marketing,Business - Operations Management,Business - Tourism and Hospitality Management,Interior Decorating,Landscape Horticulture,Office Assistant I,Office Management,Business Administration - Accounting,Business Administration - Financial Services,Business Administration - General Management,Business Administration - Human Resources,Business Administration - Management,Business Administration - Marketing,Business - Tourism and Hospitality Management,Criminal and Social Justice,Writing and Publishing,Human Service Worker,Practical Nursing,Business Administration - Accounting,Business Administration - Financial Services,Business Administration - Human Resources,Business Administration - Management,Business Administration - Marketing,Business - Tourism and Hospitality Management,Business Administration,Computer Information Systems,Business - Accounting,Business - Business Computer Applications,Business - Entrepreneurship and Small Business Management,Business - Financial Services,Business - Human Resources Management,Business - Marketing,Business - Operations Management,Business - Tourism and Hospitality Management,Cullinary Arts,Education Assistant,Landscape Horticulture,Office Assistant I,Office Management,Business Administration - Accounting,Business Administration - Financial Services,Business Administration - General Management,Business Administration - Human Resources,Business Administration - Management,Business Administration - Marketing,Business - Tourism and Hospitality Management,Human Service Worker,Practical Nursing,Business Administration - Accounting,Business Administration - Financial Services,Business Administration - Human Resources,Business Administration - Management,Business Administration - Marketing,Business - Tourism and Hospitality Management,Business Administration"
Red River College,College,,Canada,Winnipeg,Manitoba,http://www.rrc.mb.ca/,Advanced Diploma,"Creative Arts and Design,Business and Management,Business and Management,Architecture and Construction,Architecture and Construction,Architecture and Construction,Business and Management,Business and Management,Social Studies and Media,E,Business and Management,Business and Management,Computer Science and IT,Architecture and Construction,Social Studies and Media,Travel and Hospitality,Health and Medicine,Social Studies and Media,Social Studies and Media,Engineering,Engineering,Creative Arts and Design,Creative Arts and Design,Health and Medicine,Health and Medicine,Travel and Hospitality,Travel and Hospitality,Law,Computer Science and IT,Architecture and Construction,Engineering,Health and Medicine,Computer Science and IT,Computer Science and IT,Health and Medicine,Engineering,Travel and Hospitality,Social Studies and Media,Architecture and Construction,Creative Arts and Design,Engineering,Social Studies and Media,Business and Management,Travel and Hospitality","3D Computer Graphics,Administrative Assistant ,Applied Accounting,Architectural/Engineering Technology,Automotive Technician,Automotive Technician,Business Administration,Business Information Technology,Child and Youth Care,Civil Engineering Technology,Commerce Industry Sales & Marketing,Community Development/Community Economic Development,Computer Applications for Business,Construction Management,Creative Communications,Culinary Arts,Dental Assisting,Digital Media Design,Early Childhood Education ,Electrical Engineering Technology,Electronic and Network Technician,Graphic Design,Graphic Design,Health Information Management,Health Unit Clerk,Hospitality and Tourism Management,Hotel & Restaurant Management,Legal Assistant,Library and Information Technology,Manufacturing Technician,Mechanical Engineering Technology,Medical Device Reprocessing Technician,Network Technology,Network Technology,Nursing,Power Engineering Technology,Professional Baking and Patisserie,Professional Photography,Refrigeration & Air Conditioning Technician,Residential Decorating,Structural Engineering Technology,Technical Communication,Technology Management,Tourism Management"
SAIT,College,,Canada,Calgary,Alberta,http://www.sait.ca/,Certificate,"Business and Management,Business and Management,Health and Medicine,Health and Medicine,Business and Management,Engineering,Health and Medicine,Health and Medicine,Health and Medicine,Computer Science and IT,Health and Medicine,Business and Management,Architecture and Construction,Architecture and Construction,Travel and Hospitality,Social Studies and Media,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Engineering,Engineering,Business and Management,Business and Management","Business Intelligence - Data Analysis and Reporting,Database Administrator,Dental Assisting,Emergency Medical Technician,Information and Records Management ,Machinist Technician,Medical Device Reprocessing Technician,Medical Office Assistant and Unit Clerk,Medical Transcriptionist,Network Technician,Nutrition For Healthy Lifestyles,Administrative Information Management,Architectural Technologies,Automotive Service Technology,Baking and Pastry Arts,Broadcast Systems Technology,Business Administration,Business Administration - Automotive Management,Business Administration - Automotive Management,Civil Engineering Technology,Electrical Engineering Technology,Electronics Engineering Technology,Engineering Design and Drafting Technology,Business Administration,Science Construction Project Management"
Sault College,College,,Canada,Sault Ste Marie,Ontario,http://www.saultcollege.ca/,Diploma,"Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Health and Medicine,Social Studies and Media,Social Studies and Media,Law,Business and Management,Health and Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Social Studies and Media,Engineering,Architecture and Construction,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Engineering,Business and Management,Engineering,Engineering,Travel and Hospitality,Creative Arts and Design,Health and Medicine,Personal Care and Fitness,Travel and Hospitality,Health and Medicine,Health and Medicine,Social Studies and Media,Health and Medicine,Health and Medicine,Computer Science and IT,Computer Science and IT,Computer Science and IT,Computer Science and IT,Law,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Computer Science and IT,Personal Care and Fitness,Personal Care and Fitness","Business,Business - Accounting,Business Applications,Business Management,Effective Business Writing,Health Office Administrative Support,Human Resources Practices,Leadership Development Series,Legal Office Assistant,Marketing Specialist,Medical Transcription,Office Administration - Executive,Office Assistant,Project Management,Public Relations and Event Management,Child and Youth Care,Early Childhood Education,Social Service Worker,Civil Engineering Technician,Commercial Construction Management,Electrical Engineering Technician - Process Automation,Electrical Engineering Technician - Process Automation and Trades,Electrical Engineering Technology - Process Automation,Engineering Technology Management,Instrumentation and Control Engineering Technician,Mechanical Engineering Technician - Manufacturing,Pre-Trades and Technology,Project Management,Robotics and Advanced Automation,Diversity and Intercultural Relations,General Arts and Science - Kitchen Assistant,General Arts and Science - One-Year,Science in Nursing,Fitness and Health Promotion,Food Service Worker,Health Office Administrative Support,Medical Transcription,Personal Support Worker,Pharmacy Technician,Practical Nursing,Computer Programmer,Computer Programmer Analyst,Video Game Art,Web Development Essentials,Protection, Security and Investigation,Digital Film Production,Digital Photography and Imaging,Graphic Design - Digital Media,Video Game Art,Esthetician,Hairstyling"
Selkirk College,College,,Canada,Castlegar,British Columbia,http://www.selkirk.ca/,Diploma,"Creative Arts and Design,Agricultural and Veterinary Medicine,Business and Management,Business and Management,Social Studies and Media,Social Studies and Media,Engineering,Humanities,Architecture and Construction,Architecture and Construction,Architecture and Construction,Creative Arts and Design,Health and Medicine,Business and Management,Health and Medicine,Travel and Hospitality,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Personal Care and Fitness,Engineering","Creative Writing,Plant Operator,Resort and Hotel Management,Business Administration,Early Childhood Education,Early Childhood Education,Engineering,English Language,Forest Technology,Geographic Information Systems,Geographic Information Systems,Liberal Arts & Sciences,Nursing,Office Administration ,Pharmacy Technician,Recreation, Fish and Wildlife,Social Service Worker,Social Service Worker,Digital Arts and New Media,Jewelry Studio,Music and Technology,Open Studio,Studio Arts,Textiles Studio,Cook Training, Professional,Culinary Management,Resort and Hotel Management,Hairstyling,Heavy Mechanical Foundation"
Seneca College,Public College,,Canada,Toronto,Ontario,http://www.senecacollege.ca/,Advanced Diploma,"Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Engineering,Computer Science and IT,Personal Care and Fitness,Computer Science and IT,Social Studies and Media,Social Studies and Media,Computer Science and IT,Creative Arts and Design,Computer Science and IT,Computer Science and IT,Social Studies and Media,Computer Science and IT,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Engineering,Personal Care and Fitness,Engineering,Engineering,Personal Care and Fitness,Personal Care and Fitness,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Business and Management,Business and Management,Business and Management,Personal Care and Fitness,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Law,Computer Science and IT,Engineering,Business and Management,Business and Management,Business and Management,Business and Management,Social Studies and Media,Business and Management,Creative Arts and Design,Engineering,Engineering,Social Studies and Media,Social Studies and Media,Health and Medicine,Health and Medicine,Social Studies and Media,Agricultural and Veterinary Medicine,Agricultural and Veterinary Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Business and Management,Social Studies and Media,Business and Management,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Travel and Hospitality,Health and Medicine,Social Studies and Media","Animation,Art Fundamentals,Broadcasting - Radio,Broadcasting - Television,Chemical Engineering Technology,Computer Networking and Technical Support,Cosmetic Science,Database Application Developer,Documentary and Non-Fiction Media Production,Event and Media Production,Game Art and Animation,Graphic Design,Informatics and Security (Co-op),Software Development (Co-op),Journalism,Project Management - Information Technology,Public Relations - Investor ,Social Service Worker,Technical Communication,Visual Effects for Film and Television,Accounting Techniques,Accounting and Finance,Accounting and Payroll,Accounting,Building Systems Engineering Technician,Business - International Business,Business Administration - Accounting & Financial Planning,Business Administration - Entrepreneurship and Small Business,Business Administration - Financial Planning,Business Administration - Human Resources,Business Administration - International Business,Business Administration - Management,Business Administration - Purchasing and Supply Management,Business,Civil Engineering Technician,Computer Engineering Technology,Cosmetic Techniques and Management,Electronics Engineering Technician,Electronics Engineering Technology,Esthetician,Esthetics and Spa Therapies,Event Management - Event and Exhibit Design,Fashion Arts,Fashion Business Management,Fashion Business,Fashion Studies,Financial Planning,Financial Services - Client Services,Financial Services Compliance Administration,Fitness and Health Promotion,Commerce - Business Management (Co-op),Commerce - Financial Services Management (Co-op),Human Resources Strategy and Technology (Co-op),International Accounting and Finance (Co-op),International Business Management (Co-op),Human Resources Management,International Business Management,Law Clerk,Library and Information Technician,Mechanical Engineering Technology - Building Sciences,Office Administration - Executive,Office Administration - Health Services,Office Administration - Legal,Public Administration,Social Media,Supply Chain Management - Global Logistics,Visual Merchandising Arts,Mechanical Engineering Technician (Tool Design),Mechanical Engineering Technology - Industrial Design,Child and Youth Care (Formerly: Child and Youth Worker),Early Childhood Education,Nursing,Practical Nursing,Social Service Worker,Veterinary Assistant,Veterinary Technician,Brand Management,Business - Marketing,Business Administration - Marketing,Creative Advertising,Event Marketing - Sports, Entertainment, Arts,Global Hospitality Business Development,Global Hospitality Operations Management,Hospitality - Hotel and Restaurant Services Management,Hospitality Foundations,Marketing Management,Social Media,Strategic Marketing and Marketing Analytics,Tourism - Services Management - Flight Services Specialization,Tourism - Services Management - Global Tourism Business Specialization,Tourism - Services Management - Meeting, Conventions & Events Specialization,Tourism - Services Management - Travel Services Specialization,Tourism - Travel Operations,Practical Nursing,Social Service Worker"
Sheridan College,College,,Canada,Oakville,Ontario,https://www.sheridancollege.ca,Certificate,"Social Studies and Media,Social Studies and Media,Social Studies and Media,Personal Care and Fitness,Social Studies and Media,Computer Science and IT,Computer Science and IT,Computer Science and IT,Social Studies and Media,Social Studies and Media,Social Studies and Media,Business and Management,Creative Arts and Design,Computer Science and IT,Computer Science and IT,Computer Science and IT,Social Studies and Media,Social Studies and Media,Personal Care and Fitness,Social Studies and Media,Creative Arts and Design,Social Studies and Media,Computer Science and IT,Computer Science and IT,Computer Science and IT,Social Studies and Media,Creative Arts and Design,Health and Medicine,Architecture and Construction,social Studies and Media,Personal Care and Fitness,Social Studies and Media,Engineering,Engineering,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Law,Social Studies and Media,Computer Science and IT,Computer Science and IT,Computer Science and IT,Social Studies and Media,Engineering,Engineering,Engineering,Computer Science and IT,Engineering,Engineering,Engineering,Business and Management,Business and Management,Business and Management,Health and Medicine,Health and Medicine,Social Studies and Media,Agricultural and Veterinary Medicine,Business and Management,Business and Management,Business and Management,Business and Management,Engineering,Social Studies and Media,Computer Science and IT,Computer Science and IT,Computer Science and IT,Engineering,Engineering,Computer Science and IT,Engineering,Engineering,Humanities,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Humanities,Business and Management,Architecture and Construction,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Creative Arts and Design,Travel and Hospitality,Creative Arts and Design,Business and Management,Architecture and Construction,Business and Management,Business and Management,Business and Management,Business and Management","Media Fundamentals,English Language Studies (ESL),Performing Arts – Preparation,Advanced Special Effects Makeup, Prosthetics and Props,Advanced Television and Film,Computer Animation,Game Development – Advanced Programming,Game Level Design,Interactive Media Management,Journalism – New Media,Music Applied to Stage, Screen and Interactive Visual Environments (MASSIVE),Public Relations – Corporate Communications,Visual Effects,Web Design,Computer Programmer,Computer Systems Technician – Software Engineering,Early Childhood Education,Journalism,Makeup for Media and Creative Arts,Social Service Worker,Visual and Creative Arts,Child and Youth Care,Computer Systems Technology – Software Development and Network Engineering,Computer Systems Technology – Systems Analyst,Internet Communications Technology,Technical Production for Theatre and Live Events,Visual and Creative Arts,Community Pharmacy Assistant,Electrical Techniques,English Language Studies (ESL),Fundamentals of Fitness Leadership,Personal Support Worker,Mechanical Techniques – Tool and Die Maker,Technology Fundamentals,Human Resources Management,Manufacturing Management,Quality Assurance – Manufacturing and Management,Business,Business Administration – Accounting,Business Administration – Finance,Business Administration – Human Resources,Business Administration – Marketing,Community and Justice Services,Community Worker – Outreach and Development,Computer Engineering Technician/Technology,Computer Programmer,Computer Systems Technician – Software Engineering,Early Childhood Education,Electrical Engineering Technician,Electromechanical Engineering Technician/Technology,Electronics Engineering Technician/Technology,Information Technologies Support Services,Mechanical Engineering Technician/Technology,Mechanical Engineering Technician/Technology – Design & Drafting,Mechanical Technician – Tool Making,Office Administration – Executive,Office Administration – Health Services,Office Administration – Legal,Pharmacy Technician,Practical Nursing,Social Service Worker,Veterinary Technician,Business Administration – Accounting,Business Administration – Finance,Business Administration – Human Resources,Business Administration – Marketing,Chemical Engineering Technology,Child and Youth Care,Computer Engineering Technician/Technology,Computer Systems Technology – Software Development and Network Engineering,Computer Systems Technology – Systems Analyst,Electromechanical Engineering Technician/Technology,Electronics Engineering Technician/Technology,Internet Communications Technology,Mechanical Engineering Technician/Technology,Mechanical Engineering Technician/Technology – Design & Drafting,English Language Studies (ESL),Advertising – Account Management,Business Analysis and Process Management,Human Resources Management,International Business Management,Marketing Management,Project Management,Teaching English to Speakers of Other Languages (TESOL Plus),Advertising and Marketing Communications – Management,Architectural Technician/Technology,Business,Business Administration – Accounting,Business Administration – Finance,Business Administration – Human Resources,Business Administration – Marketing,Interior Decorating,Tourism – Global Travel,Visual Merchandising Arts,Advertising and Marketing Communications – Management,Architectural Technician/Technology,Business Administration – Accounting,Business Administration – Finance,Business Administration – Human Resources,Business Administration – Marketing"
Sir Sandford Flemming College,College,,Canada,Peterborough,Ontario,https://flemingcollege.ca,Diploma,"Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Business and Management,Social Studies and Media,Law,Computer Science and IT,Computer Science and IT,Computer Science and IT,Engineering,Travel and Hospitality,Travel and Hospitality,Social Studies and Media,Social Studies and Media,Social Studies and Media,Social Studies and Media,Personal Care and Fitness,Personal Care and Fitness,Business and Management,Creative Arts and Design,Health and Medicine,Architecture and Construction,Travel and Hospitality,Social Studies and Media,Engineering,Business and Management,Law,Personal Care and Fitness,Business and Management,Business and Management,Social Studies and Media,Health and Medicine,Health and Medicine,Business and Management,Law,Travel and Hospitality,Social Studies and Media,Travel and Hospitality,Business and Management,Health and Medicine,Computer Science and IT,Architecture and Construction,Engineering,Engineering,Engineering,Engineering,Social Studies and Media,Creative Arts and Design,Social Studies and Media,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Creative Arts and Design,Social Studies and Media,Social Studies and Media,Creative Arts and Design,Architecture and Construction,Creative Arts and Design","Accounting,Business,Business Administration,Business Administration - Accounting,Business Administration - Human Resources Management,Business Administration - Marketing,Child and Youth Care (formerly Child and Youth Worker),Community and Justice Services,Computer Engineering Technician,Computer Engineering Technology,Computer Security and Investigations,Construction Engineering Technician,Culinary Management,Culinary Skills (formerly Chef Training),Developmental Services Worker,Early Childhood Education,Educational Support (formerly Educational Assistant),English As A Second Language Bridge,Esthetician,Fitness and Health Promotion,Global Business Management,Graphic Design - Visual Communication,Health Information Management,Heating, Refrigeration and Air Conditioning,Hospitality (formerly Hotel and Restaurant Management),Human Service Foundations,Instrumentation and Control Engineering Technician,International Business Management,Law Clerk,Massage Therapy,Office Administration - Executive,Office Administration - General,Personal Support Worker,Pharmacy Technician,Practical Nursing,Project Management,Protection, Security and Investigation (formerly Security and Risk Management),Recreation and Leisure Services,Social Service Worker,Tourism - Global Travel (formerly Tourism and Travel),Trades Fundamentals,Nursing,Wireless Information Networking,Construction and Resources Drilling Technician,Electrical Power Generation Technician,Geographic Information Systems - Applications Specialist,Geographic Information Systems - Cartographic Specialist,Heavy Equipment Operator,Outdoor Adventure Skills,Ceramics,Digital Image Design,Drawing and Painting,Expressive Arts,Fibre Arts,Integrated Design,Jewellery Essentials,Moving Image Design,Photo Arts,Sculpture,Sustainable Building Design and Construction,Visual and Creative Arts "
